Athlete,Year,Team,Time,Wind,Year_next_year,Next Year Time,Predicted
"Johnson, Tyrell",SR-4,Arizona,10.42,2.8,SR-4,10.41,10.41
"Williams, Caleb",SO-2,LIU Brooklyn,10.44,2.2,JR-3,10.7,10.7
"Lee, Winston",JR-3,Syracuse,10.44,2.6,SR-4,10.47,10.47
"Ford, Alize",FR-1,Alabama,10.44,3.2,SO-2,10.35,10.35
"Ross, Elijah",JR-3,Arkansas State,10.44,2.0,SR-4,10.25,10.25
"Williams, Waseem",FR-1,Purdue,10.44,2.9,SO-2,10.1,10.1
"Kemp, Jamal",SO-2,Houston Baptist,10.45,1.0,SR-4,10.56,10.56
"Hunter, Jeremiah",FR-1,Miami (Ohio),10.45,3.3,SO-2,10.55,10.55
"Spears, Tyson",FR-1,Georgia Tech,10.45,1.0,SO-2,10.55,10.55
"Wesley, Bennie",JR-3,Oklahoma,10.46,2.7,SR-4,10.48,10.48
"Webb, Jonathan",FR-1,Minnesota,10.46,2.8,SO-2,10.64,10.64
"Latson, Joel",FR-1,Texas Tech,10.46,3.8,SO-2,10.55,10.55
"Henderson, Bryan",FR-1,Sam Houston St.,10.47,3.7,SO-2,10.58,10.58
"Menchaca, Zach",SO-2,Cornell,10.47,3.2,JR-3,10.54,10.54
"Pride Jr., Troy",FR-1,Notre Dame,10.47,2.6,SO-2,10.5,10.5
"Antonio, Leighton",JR-3,Eastern Michigan,10.48,3.1,SR-4,10.5,10.503333333333332
"Webb, Jackson",FR-1,Oklahoma,10.48,2.7,SO-2,10.42,10.42
"Bailey, Henrick",JR-3,Bethune-Cookman,10.49,2.0,SR-4,10.57,10.57
"Vaughns, Vincent",FR-1,Yale,10.49,3.4,SO-2,10.5,10.5
"Williams, Deontae",JR-3,N.C. Central,10.49,2.7,SR-4,10.59,10.59
"Slone, Taron",JR-3,Akron,10.49,3.1,SR-4,10.47,10.47
"Walker, Chadayne",SO-2,UMKC,10.5,2.1,JR-3,10.81,10.81
"Page, Seth",FR-1,Texas A&M,10.5,3.7,JR-3,10.81,10.81
"Braxton, Ian",FR-1,Baylor,10.5,4.0,SO-2,10.58,10.58
"Saluri, Karl",JR-3,Georgia,10.5,3.4,SR-4,10.52,10.52
"White, Desean",JR-3,Morgan State,10.51,2.5,SR-4,10.48,10.48
"Haynes, Deontre",SO-2,UT-Arlington,10.51,2.0,JR-3,10.33,10.33
"James, Tre",FR-1,Southern Utah,10.51,3.8,SO-2,10.35,10.35
"Sims, Ben",SO-2,Army West Point,10.51,1.6,JR-3,10.55,10.55
"Zenner, Sam",FR-1,South Dakota St.,10.51,1.9,SO-2,10.6,10.6
"Gunnarsson, Kolbeinn",FR-1,Memphis,10.51,3.1,SO-2,10.68,10.68
"Flynn, Justin",SR-4,Boston U.,10.51,2.5,SR-4,10.39,10.39
"Bush, William",SO-2,Western Kentucky,10.52,0.8,JR-3,10.52,10.52
"Richemond, Alexander",JR-3,Southern Miss.,10.52,1.0,SR-4,10.47,10.47
"Singleton, Darrell",FR-1,South Carolina,10.53,0.4,SO-2,10.41,10.41
"Azu-Irondi, Sike",JR-3,UC Santa Barbara,10.53,2.2,SR-4,10.57,10.57
"Jewell, Zachary",FR-1,Central Arkansas,10.53,2.1,SO-2,10.46,10.46
"Elam, Alex",SO-2,South Alabama,10.53,3.0,JR-3,10.33,10.33
"Jordan, Deshaun",JR-3,Illinois State,10.54,2.2,SR-4,10.8,10.8
"Carder, Jordan",SO-2,Utah Valley,10.54,3.8,JR-3,10.65,10.65
"Watkins, Darius",JR-3,Virginia Tech,10.54,2.7,SR-4,10.8,10.58
"Maat, Molefi",JR-3,Illinois,10.54,0.4,SR-4,10.44,10.516666666666667
"Belcher, Christopher",JR-3,N. Carolina A&T,10.07,1.9,SR-4,9.99,9.99
"Givans, Senoj-Jay",JR-3,Texas,10.08,3.0,SR-4,10.13,10.13
"Mitchell-Blake, Nethaneel",JR-3,LSU,10.09,1.0,SR-4,9.99,9.99
"Coleman, Christian",SO-2,Tennessee,10.11,0.8,JR-3,9.93,9.93
"Burrell, Cameron",SO-2,Houston,10.16,1.9,JR-3,10.25,10.25
"Bacon, Jaylen",SO-2,Arkansas State,10.25,1.5,JR-3,10.0,10.0
"Clark, Ryan",FR-1,Florida,10.26,1.7,SO-2,10.22,10.22
"Williams, Gawain",SO-2,South Dakota,10.26,2.9,JR-3,10.38,10.38
"Carnes, Brandon",JR-3,Northern Iowa,10.27,3.2,SR-4,9.97,9.97
"Burke, Mario",FR-1,Houston,10.27,-1.4,SO-2,10.17,10.17
"Clarke, Edward",SO-2,Florida State,10.27,2.4,SO-2,10.34,10.34
"Cotton, Kenzo",SO-2,Arkansas,10.28,1.0,JR-3,10.2,10.2
"Larkins, Micah",FR-1,Northwestern St.,10.28,2.0,SO-2,10.2,10.2
"Mutanga, Tinashe",JR-3,LSU,10.29,1.2,SR-4,10.38,10.38
"Morris, Julius",SO-2,Western Kentucky,10.29,2.7,JR-3,10.18,10.18
"Acy, Tremayne",JR-3,LSU,10.29,1.0,SR-4,10.13,10.215
"Titi, Ncincilili",SO-2,South Carolina,10.29,1.2,JR-3,10.21,10.21
"Montgomery, Hakim",FR-1,Troy,10.3,1.5,SO-2,10.22,10.22
"Gray, Nick",FR-1,Ohio State,10.3,3.0,SO-2,10.41,10.41
"Tsumba, Tatenda",JR-3,BYU,10.3,1.1,SR-4,10.18,10.18
"James, Amir",SO-2,Northwestern St.,10.31,2.1,JR-3,10.2,10.2
"Rowe, Rodney",FR-1,N. Carolina A&T,10.31,2.3,SO-2,10.28,10.28
"Larry, Lorenzo",JR-3,Wisconsin,10.31,2.5,SR-4,10.34,10.34
"Anumnu, Charles",JR-3,Texas,10.32,3.0,SR-4,10.23,10.23
"Smith, Terrell",SO-2,Kansas State,10.33,2.0,JR-3,10.24,10.24
"Williams, Mustaqeem",FR-1,Tennessee,10.33,1.0,SO-2,10.33,10.33
"Winters, Jr, David",JR-3,South Carolina,10.34,1.7,SR-4,10.3,10.3
"Armstrong, Traveyon",JR-3,Oklahoma,10.35,1.6,SR-4,10.36,10.36
"Johnson, Zach",JR-3,Air Force,10.37,2.6,SR-4,10.41,10.41
"Timpson, Jr, Michael",FR-1,Florida,10.37,0.2,SO-2,10.27,10.27
"Piper, Aaron",SO-2,Stephen F. Austin,10.37,3.7,JR-3,10.19,10.19
"Hamilton, Kenshard",JR-3,Kentucky,10.4,2.5,SR-4,10.29,10.29
"Smith, Kwadarrius",SO-2,Akron,10.4,2.4,JR-3,10.42,10.42
"Powell, Leon",SO-2,UCLA,10.41,1.4,JR-3,10.26,10.26
"Bozmans, Raymond",JR-3,TCU,10.41,1.2,SR-4,10.43,10.43
"Menchaca, Zach",FR-1,Cornell,10.41,1.7,SO-2,10.47,10.47
"Wilson, Malik",SO-2,Baylor,10.41,3.3,JR-3,10.42,10.42
"Harris III, Robert",JR-3,Albany,10.42,2.9,SR-4,10.39,10.39
"Hines, Nyheim",FR-1,North Carolina St.,10.42,2.4,SO-2,10.34,10.34
"Maat, Molefi",SO-2,Illinois,10.42,2.7,JR-3,10.54,10.54
"Quinn, Devin",FR-1,Illinois,10.42,2.9,SO-2,10.2,10.2
"Brissett, Christian",FR-1,Iowa,10.43,1.6,SO-2,10.43,10.43
"Tchenawou, Kossi",SO-2,Northern Arizona,10.43,1.6,JR-3,10.37,10.37
"Sims, Ben",FR-1,Army West Point,10.43,2.0,SO-2,10.51,10.51
"Charles, Ja'Maun",FR-1,Washington St.,10.44,-0.6,SO-2,10.29,10.29
"Dorsey, Fred",SO-2,Kentucky,10.46,2.2,JR-3,10.31,10.31
"Buckley, William",JR-3,Appalachian State,10.46,1.5,SR-4,10.47,10.375
"Morrow, Elijah",SO-2,Texas A&M,10.47,2.3,JR-3,10.45,10.45
"Lee, Winston",SO-2,Syracuse,10.47,2.4,JR-3,10.44,10.44
"Washington, Josh",JR-3,Arkansas,10.47,2.0,SR-4,10.29,10.29
"DeMoss, Davon",FR-1,Memphis,10.47,-0.7,SO-2,10.17,10.17
"Styles, Therius",SO-2,Coastal Carolina,10.47,2.5,JR-3,10.37,10.37
"Smith, Tyler",FR-1,McNeese State,10.47,3.3,SO-2,10.37,10.37
"Brazil, Jeryl",JR-3,UL-Lafayette,10.47,1.6,JR-3,10.53,10.53
"Raymond, Ayodeji",JR-3,George Mason,10.48,3.2,SR-4,10.53,10.503333333333332
"Crawford, Lawrence",FR-1,Miss State,10.48,0.8,SO-2,9.97,9.97
"White, Desean",SO-2,Morgan State,10.49,1.5,JR-3,10.51,10.51
"Crenshaw, Khoury",SO-2,Michigan,10.49,4.0,JR-3,10.38,10.38
"Lewis III, John",FR-1,Houston,10.49,2.7,SO-2,10.27,10.27
"Fair, Kareem",SO-2,Bethune-Cookman,10.5,1.9,JR-3,10.28,10.28
"Watkins, Darius",SO-2,Virginia Tech,10.5,1.5,JR-3,10.54,10.54
"Martin, Jacarias",FR-1,Houston,10.5,-1.4,SO-2,10.4,10.4
"Porter, Demarcus",SO-2,Texas State,10.51,-0.1,JR-3,10.53,10.53
"Gabriel, Caleb",JR-3,N. Carolina A&T,10.52,2.1,SR-4,10.18,10.18
"Wesley, Bennie",SO-2,Oklahoma,10.52,1.6,JR-3,10.46,10.465
"Green, Phillip",FR-1,Texas State,10.52,1.2,SO-2,10.54,10.54
"Alkins, Jon",JR-3,Binghamton,10.52,2.8,SR-4,10.52,10.52
"Williams, Cameron",JR-3,Boston U.,10.53,1.5,SR-4,10.54,10.54
"Smith, Xavier",SO-2,Penn State,10.53,3.5,JR-3,10.35,10.35
"Mustard, Alex",SO-2,Montana,10.53,2.1,JR-3,10.41,10.41
"Ejiakuekwu, Roy",FR-1,Arkansas,10.53,-1.1,SO-2,10.34,10.34
"Kirby, Bryce",FR-1,Boise State,10.54,2.6,SO-2,10.34,10.34
"Flowers, Darrion",FR-1,TCU,10.54,1.2,SO-2,10.23,10.23
"Carter, Hanoj",JR-3,UL-Lafayette,10.55,1.8,SR-4,10.19,10.19
"Neumann, Brad",JR-3,Minnesota,10.55,3.0,JR-3,10.44,10.44
"Kemp, Jamal",SO-2,Houston Baptist,10.65,2.6,SO-2,10.45,10.45
"Haynes, Deontre",FR-1,UT-Arlington,10.66,2.7,SO-2,10.51,10.51
"Lawrence, Hakeem",SO-2,Akron,10.66,2.2,SR-4,10.22,10.22
"Robinson, Jamal",JR-3,Eastern Illinois,10.57,2.4,SR-4,10.34,10.34
"Henderson, Deandre",JR-3,SE Louisiana,10.71,2.0,SR-4,10.53,10.53
"Bailey, Henrick",SR-4,Bethune-Cookman,10.62,2.5,JR-3,10.49,10.49
"Shelton, Demetrius",SO-2,Drake,10.58,2.2,SR-4,10.52,10.52
"Davis, Josh",FR-1,Alabama State,10.58,2.3,SO-2,10.32,10.32
"Moore, Matthew",JR-3,East Tenn. St.,10.58,-0.9,SR-4,10.46,10.46
"Saluri, Karl",SO-2,Georgia,10.66,1.3,JR-3,10.5,10.5
"Parmley, Tristan",FR-1,Indiana State,10.67,3.2,JR-3,10.29,10.29
"Hayes, Jaz",JR-3,Loyola (Ill.),10.67,2.4,SR-4,10.46,10.46
"Hester, Tevin",JR-3,Clemson,9.87,2.1,SR-4,9.99,9.99
"Teeters, John",JR-3,Oklahoma State,9.98,3.5,JR-3,10.16,10.16
"Robinson, Bryce",JR-3,Tulsa,9.99,3.7,SR-4,10.56,10.56
"Baker, Ronnie",JR-3,TCU,9.99,3.5,SR-4,9.95,9.95
"Givans, Senoj-Jay",SO-2,Texas,10.02,3.5,JR-3,10.08,10.08
"Bacon, Jaylen",FR-1,Arkansas State,10.1,1.7,SO-2,10.25,10.25
"Carnes, Brandon",SO-2,Northern Iowa,10.1,3.0,JR-3,10.27,10.27
"Eaddy, Maurice",SO-2,N. Carolina A&T,10.11,1.5,JR-3,10.27,10.27
"Acy, Tremayne",SO-2,LSU,10.12,3.3,JR-3,10.29,10.29
"James, Jamol",JR-3,Arizona State,10.15,1.9,SR-4,10.42,10.42
"Coleman, Christian",FR-1,Tennessee,10.19,2.8,SO-2,10.11,10.11
"Lawson, Jarrion",JR-3,Arkansas,10.19,0.4,SR-4,10.19,10.19
"Carter, Hanoj",SO-2,UL-Lafayette,10.2,1.0,JR-3,10.55,10.55
"Woodson, Markesh",JR-3,Missouri,10.21,2.3,SR-4,10.13,10.13
"Jenkins, Justin",JR-3,Sam Houston St.,10.24,1.4,SR-4,10.36,10.364999999999998
"Kemp, Demek",FR-1,South Carolina St.,10.25,-1.6,SO-2,10.37,10.364999999999998
"Harrington, James",JR-3,Iowa,10.26,1.5,SR-4,10.42,10.42
"Rodney, Brendon",JR-3,LIU Brooklyn,10.28,0.9,SR-4,10.27,10.27
"Gabriel, Caleb",SO-2,N. Carolina A&T,10.29,1.0,JR-3,10.52,10.52
"Smith, Terrell",FR-1,Kansas State,10.3,3.2,SO-2,10.33,10.33
"Anumnu, Charles",SO-2,Texas,10.3,3.3,JR-3,10.32,10.32
"Buckley, William",SO-2,Appalachian State,10.3,1.6,JR-3,10.46,10.46
"Ali, Ahmed",JR-3,Alabama,10.3,2.8,SR-4,10.27,10.27
"Hicks, Jermey",SO-2,Louisiana Tech,10.31,2.6,JR-3,10.23,10.23
"Saucer, Vinnie",SO-2,Iowa,10.31,2.2,JR-3,10.36,10.36
"Cotton, Kenzo",FR-1,Arkansas,10.32,2.3,SO-2,10.28,10.28
"Watts, Sam",JR-3,TCU,10.32,2.7,SR-4,10.27,10.27
"Fisher, James",SO-2,Northern Arizona,10.33,3.8,JR-3,10.52,10.52
"Bluth, Parker",JR-3,Utah State,10.34,2.6,SR-4,10.2,10.2
"Jenkins, Devin",JR-3,Texas A&M,10.34,2.8,SR-4,10.22,10.22
"Muhammad, Khalfani",SO-2,California,10.35,2.8,JR-3,10.5,10.5
"Brown, Raheem",JR-3,SE Louisiana,10.35,2.6,SR-4,10.62,10.62
"Armstrong, Traveyon",SO-2,Oklahoma,10.36,1.3,JR-3,10.35,10.35
"Smith, Teray",SO-2,Auburn,10.36,0.4,JR-3,10.33,10.33
"Wright, Antwan",JR-3,Florida,10.37,2.3,SR-4,10.5,10.5
"Gordon, Wayne",SR-4,Kent State,10.38,0.7,SR-4,10.44,10.44
"Powell, Leon",FR-1,UCLA,10.38,0.4,SO-2,10.41,10.41
"Lloyd, Antoine",FR-1,Nebraska,10.38,2.2,SO-2,10.53,10.53
"Strup, Chris",JR-3,Loyola (Ill.),10.39,3.0,SR-4,10.6,10.6
"Washington, Marqueze",JR-3,Arkansas,10.39,1.8,SR-4,10.19,10.19
"Eliphar, Alton",JR-3,FIU,10.41,0.6,JR-3,10.33,10.43
"Taylor, Nicholas",JR-3,Utah Valley,10.41,0.8,SR-4,10.18,10.18
"Sartor-Francis, Jordan",JR-3,Navy,10.41,0.6,SR-4,10.53,10.43
"Maat, Molefi",FR-1,Illinois,10.42,2.2,SO-2,10.42,10.42
"VanAssche, Jeremy",FR-1,Eastern Washington,10.42,3.7,SO-2,10.31,10.31
"Quarles, Frank",SO-2,N. Carolina A&T,10.42,2.9,JR-3,10.52,10.52
"Fair, Kareem",FR-1,Bethune-Cookman,10.42,1.0,SO-2,10.5,10.5
"Wesley, Bennie",FR-1,Oklahoma,10.43,2.1,SO-2,10.52,10.675
"James, Amir",FR-1,Northwestern St.,10.43,1.4,SO-2,10.31,10.31
"Addison, Jonathan",JR-3,North Carolina St.,10.44,2.1,SR-4,10.43,10.43
"Collins, Leshon",JR-3,Houston,10.44,1.6,SR-4,10.15,10.15
"House, James",FR-1,High Point,10.45,3.4,SO-2,10.49,10.49
"Bozmans, Raymond",SO-2,TCU,10.45,0.2,JR-3,10.41,10.41
"Pinder, Tadashi",JR-3,Alabama,10.46,1.5,SR-4,10.28,10.375
"Denmark, Kahlim",FR-1,Coastal Carolina,10.47,3.4,SO-2,10.51,10.51
"Williams, Cameron",SO-2,Boston U.,10.48,0.6,JR-3,10.53,10.53
"Jackson, Adoree",FR-1,USC,10.48,0.6,SO-2,10.35,10.35
"Reis-Herron, Joseph",JR-3,Oral Roberts,10.48,3.2,SR-4,10.48,10.503333333333332
"Williams, Gawain",FR-1,South Dakota,10.49,1.8,SO-2,10.26,10.26
"Ananaba, Otugo",SO-2,Tulsa,10.49,2.3,JR-3,10.6,10.6
"DeLoach, Josh",JR-3,Colorado St.,10.5,0.1,SR-4,10.32,10.32
"Brandt-Sims, Isaiah",FR-1,Stanford,10.5,2.3,SO-2,10.73,10.73
"Porter, Demarcus",FR-1,Texas State,10.51,1.7,SO-2,10.51,10.51
"Boey, Johnathan",FR-1,Eastern Illinois,10.51,1.5,JR-3,10.56,10.56
"Johnson, Zach",SO-2,Air Force,10.51,3.2,JR-3,10.37,10.37
"Zallow, Carl",FR-1,Youngstown St.,10.51,2.2,SO-2,10.51,10.45
"White, Malcolm",FR-1,Nebraska,10.52,0.3,SO-2,10.2,10.2
"Brazil, Jeryl",SO-2,UL-Lafayette,10.52,1.6,JR-3,10.47,10.465
"Redwine, Ja'Karyus",JR-3,Western Kentucky,10.53,1.7,SR-4,10.5,10.5
"Crenshaw, Khoury",FR-1,Michigan,10.53,0.1,SO-2,10.49,10.49
"Harris III, Robert",SO-2,Albany,10.53,2.5,JR-3,10.42,10.42
"Vincent, Pierce",JR-3,Drake,10.53,3.0,SR-4,10.26,10.309999999999999
"Wilson, Malik",FR-1,Baylor,10.54,1.9,SO-2,10.41,10.41
"Underwood, Isiah",JR-3,Arizona State,10.54,2.7,SR-4,10.36,10.58
"Grant, Jonathan",FR-1,Kent State,10.54,0.7,SO-2,10.51,10.51
"Bynum, Anthony",JR-3,Charlotte,10.54,0.2,SR-4,10.38,10.38
"Savoy, Jasper",JR-3,Hampton,10.55,-2.0,SR-4,10.51,10.51
"Selph, Sharod",FR-1,Oklahoma State,10.55,1.1,SR-4,10.61,10.61
"Neumann, Brad",SO-2,Minnesota,10.55,-1.7,JR-3,10.55,10.55
"Oye, Ini-Oluwa",SO-2,Kentucky,10.55,1.4,JR-3,10.62,10.62
"Cunningham, Quashawn",FR-1,North Carolina St.,10.55,0.6,SO-2,10.33,10.33
"Styles, Therius",FR-1,Coastal Carolina,10.56,2.6,SO-2,10.47,10.47
"Robinson, Jamal",SO-2,Eastern Illinois,10.56,1.0,JR-3,10.57,10.57
"Green, Ryan",JR-3,Arkansas,10.56,1.3,SR-4,10.48,10.48
"Rocha, Rodrigo",JR-3,Miss State,10.56,0.4,SR-4,10.37,10.37
"HEARD, Collin",SO-2,North Texas,10.56,1.4,JR-3,10.58,10.58
"Dasor, Emmanuel",SO-2,Western Kentucky,10.56,0.3,SR-4,10.38,10.38
"Dukes, Tyquan",JR-3,LIU Brooklyn,10.57,-0.1,SR-4,10.52,10.52
"Morrow, Elijah",FR-1,Texas A&M,10.57,1.4,SO-2,10.47,10.530000000000001
"Langley, Brendan",FR-1,Lamar,10.57,1.4,SO-2,10.59,10.530000000000001
"Caudle, Trevon",JR-3,Stephen F. Austin,10.58,1.5,SR-4,10.7,10.7
"Watkins, Darius",FR-1,Virginia Tech,10.58,2.1,SO-2,10.5,10.5
"Enslen, Devin",FR-1,Navy,10.58,0.6,SO-2,10.49,10.49
"Strickland, Cornelius",JR-3,Indiana,10.58,0.0,SR-4,10.42,10.42
"Piper, Aaron",SO-2,Stephen F. Austin,10.69,2.8,SO-2,10.37,10.37
"Satterwhite, Quadelle",JR-3,Washington,10.59,2.3,SR-4,10.6,10.615
"Ilunga-Matthiesen, Christian",JR-3,Eastern Illinois,10.59,2.1,JR-3,10.52,10.52
"Arnett, James",JR-3,Houston,10.61,2.3,SR-4,10.51,10.51
"Smith, Xavier",FR-1,Penn State,10.61,3.0,SO-2,10.53,10.53
"Lane, Jared",JR-3,Northeastern,10.64,3.6,SR-4,10.51,10.51
"George, Aaron",SO-2,Texas State,10.64,2.6,JR-3,10.52,10.52
"Scott, Rafael",FR-1,South Alabama,10.71,-2.1,SO-2,10.35,10.35
"Paulino, Brailin",FR-1,Cornell,10.65,3.2,SO-2,10.58,10.58
"Raymond, Ayodeji",SO-2,George Mason,10.6,-2.0,JR-3,10.48,10.48
"Jones, Jeffrey",JR-3,South Carolina St.,10.6,1.8,JR-3,10.74,10.655000000000001
"Darrow, Kyle",SO-2,Northeastern,10.6,1.9,JR-3,10.51,10.51
"Antonio, Leighton",FR-1,Youngstown St.,10.6,2.2,JR-3,10.47,10.47
"SOWELLS, Kedron",JR-3,North Texas,10.6,1.8,SR-4,10.57,10.655000000000001
"Dunbar, Rajee",JR-3,Rutgers,10.73,-0.6,SR-4,10.68,10.68
"Anumnu, Carlton",SO-2,Texas,10.63,2.8,JR-3,10.52,10.52
"Johnson, Darien",JR-3,Buffalo,10.63,3.2,SR-4,10.48,10.48
"Williams, Jonathan",SO-2,N.C. Central,10.62,2.3,JR-3,10.6,10.55
"Murray, Kaishon",SR-4,Charleston Southern,10.62,3.1,SR-4,10.56,10.56
"Ebiweh, Bismarck",FR-1,UL-Lafayette,10.67,1.4,SO-2,10.63,10.63
"Chambers, Terrance",JR-3,Washington St.,10.84,0.1,SR-4,10.72,10.72
"McClam, Joshua",JR-3,N.C. Central,10.88,3.6,JR-3,10.63,10.63
"Willis, Christian",JR-3,Northwestern St.,11.01,1.3,SR-4,10.74,10.74
"Sicard, Lloyd",SO-2,UC Irvine,11.05,1.5,JR-3,10.76,10.76
"Dillon, Matt",JR-3,South Alabama,11.05,1.3,SR-4,11.07,11.07
"Tran, Lane",SO-2,Cal St. Fullerton,11.73,1.3,JR-3,11.9,11.9
"Pham, Oliver",JR-3,UC Irvine,11.69,-1.0,SR-4,11.57,11.57
